team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
leos,3.0,3.0,30.0,15.0,1.0,12.0,3.0,6.0,23.0,13.0,36.0,f2f20e49-1f88-43c3-be2c-d387baa55a4a,2024-08-03T10:38:26.903Z
leos,2.0,3.0,29.0,9.0,5.0,21.0,3.0,18.0,15.0,12.0,36.0,ddbaa6de-ab64-4349-a5d5-f9327217f717,2024-07-27T10:31:54.670Z
pride landers,10.0,8.0,30.0,18.0,1.0,11.0,5.0,8.0,17.0,12.0,47.0,ddbaa6de-ab64-4349-a5d5-f9327217f717,2024-07-27T10:31:54.670Z
kwetu,3.0,4.0,24.0,14.0,9.0,13.0,8.0,11.0,17.0,8.0,59.0,ad9274de-4fbf-411a-9060-4b61e1539b8c,2024-07-28T06:30:32.549Z
rangers,15.0,14.0,21.0,18.0,5.0,15.0,12.0,9.0,17.0,5.0,65.0,ad9274de-4fbf-411a-9060-4b61e1539b8c,2024-07-28T06:30:32.549Z
clique mambas,3.0,10.0,39.0,14.0,10.0,12.0,9.0,10.0,17.0,12.0,68.0,c7839093-30f9-4b44-b52e-224b971ac8d4,2024-07-27T06:50:49.821Z
deementor,3.0,5.0,20.0,33.0,4.0,20.0,4.0,9.0,16.0,9.0,83.0,c7839093-30f9-4b44-b52e-224b971ac8d4,2024-07-27T06:50:49.821Z
e nets,10.0,6.0,20.0,21.0,3.0,12.0,8.0,10.0,25.0,21.0,57.0,059b0aa6-4f69-4fe6-8af2-a1e300ceaa0c,2024-07-28T06:27:25.590Z
twende,2.0,1.0,21.0,27.0,3.0,25.0,10.0,14.0,18.0,19.0,64.0,059b0aa6-4f69-4fe6-8af2-a1e300ceaa0c,2024-07-28T06:27:25.590Z
moorewright,7.0,12.0,21.0,21.0,6.0,10.0,9.0,6.0,18.0,7.0,72.0,195c2861-80ef-4d7d-b8a8-3e08d8212fb3,2024-07-28T06:23:07.719Z
savio,6.0,4.0,17.0,25.0,7.0,13.0,12.0,8.0,14.0,8.0,75.0,195c2861-80ef-4d7d-b8a8-3e08d8212fb3,2024-07-28T06:23:07.719Z
pride landers,18.0,19.0,28.0,20.0,1.0,8.0,7.0,2.0,14.0,10.0,62.0,f60b7b2f-455a-4e62-a3ca-fd4f3b1f166e,2024-07-28T06:24:08.409Z
vikapu,12.0,12.0,37.0,18.0,7.0,21.0,7.0,25.0,23.0,16.0,69.0,f60b7b2f-455a-4e62-a3ca-fd4f3b1f166e,2024-07-28T06:24:08.409Z
buruburu,5.0,8.0,21.0,10.0,2.0,19.0,2.0,11.0,13.0,13.0,34.0,6f9c5790-2ce2-4069-8d34-f1576bef53fa,2024-08-04T07:11:33.317Z
phenoms,2.0,5.0,12.0,30.0,0.0,14.0,13.0,11.0,26.0,16.0,65.0,6f9c5790-2ce2-4069-8d34-f1576bef53fa,2024-08-04T07:11:33.317Z
leos,14.0,5.0,24.0,21.0,4.0,17.0,3.0,8.0,17.0,8.0,59.0,51451c96-57ad-4bd8-a6c1-4bfcd9339c78,2024-09-08T05:34:54.463Z
moorewright,6.0,12.0,23.0,16.0,4.0,10.0,5.0,12.0,31.0,16.0,56.0,51451c96-57ad-4bd8-a6c1-4bfcd9339c78,2024-09-08T05:34:54.463Z
advance,2.0,9.0,29.0,9.0,5.0,16.0,2.0,9.0,20.0,11.0,42.0,6da04190-cc8d-4af2-9527-f83474afb493,2024-08-04T08:34:14.596Z
teffad,3.0,14.0,23.0,14.0,5.0,16.0,4.0,14.0,30.0,11.0,57.0,6da04190-cc8d-4af2-9527-f83474afb493,2024-08-04T08:34:14.596Z
rangers,17.0,15.0,28.0,18.0,7.0,20.0,6.0,9.0,21.0,8.0,72.0,cf55f22e-2869-484f-ab76-a24b29d959fb,2024-09-08T05:38:02.159Z
savio,12.0,13.0,34.0,23.0,3.0,25.0,5.0,15.0,30.0,15.0,68.0,cf55f22e-2869-484f-ab76-a24b29d959fb,2024-09-08T05:38:02.159Z
deementor,12.0,12.0,22.0,14.0,6.0,11.0,3.0,8.0,5.0,16.0,58.0,e8b661f0-2acf-4aef-b089-34c0b77027de,2024-08-04T09:55:38.570Z
feba nation,6.0,6.0,25.0,16.0,11.0,14.0,4.0,12.0,12.0,20.0,71.0,e8b661f0-2acf-4aef-b089-34c0b77027de,2024-08-04T09:55:38.570Z
advance,14.0,20.0,31.0,22.0,7.0,13.0,5.0,14.0,8.0,15.0,85.0,868caf97-b81f-4b57-8a54-7dfb8de09df1,2024-08-18T07:04:08.756Z
buruburu,5.0,18.0,14.0,34.0,6.0,15.0,9.0,9.0,23.0,10.0,104.0,868caf97-b81f-4b57-8a54-7dfb8de09df1,2024-08-18T07:04:08.756Z
advance,1.0,6.0,12.0,22.0,4.0,12.0,10.0,5.0,17.0,14.0,62.0,5fa07b02-c300-4977-8577-77d727b0c2df,2024-09-08T05:32:23.644Z
phenoms,5.0,11.0,20.0,30.0,7.0,27.0,13.0,18.0,13.0,5.0,92.0,5fa07b02-c300-4977-8577-77d727b0c2df,2024-09-08T05:32:23.644Z
kibra,10.0,2.0,31.0,18.0,2.0,15.0,2.0,10.0,24.0,16.0,44.0,9469d0d4-134b-4f60-850e-5b211846a2db,2024-09-08T05:41:32.702Z
twende,7.0,11.0,29.0,15.0,4.0,27.0,5.0,19.0,26.0,17.0,53.0,9469d0d4-134b-4f60-850e-5b211846a2db,2024-09-08T05:41:32.702Z
buruburu,11.0,5.0,26.0,26.0,1.0,14.0,2.0,9.0,18.0,8.0,60.0,e0e2fa66-a3ac-4057-8767-05c85acc82b1,2024-09-14T06:33:18.280Z
clique mambas,16.0,15.0,22.0,21.0,2.0,10.0,3.0,12.0,30.0,15.0,63.0,e0e2fa66-a3ac-4057-8767-05c85acc82b1,2024-09-14T06:33:18.280Z
jericho nets,1.0,3.0,27.0,16.0,9.0,18.0,4.0,5.0,27.0,9.0,62.0,aeb81132-90d7-4ed2-b477-824efa6ea4a8,2024-09-07T06:18:39.092Z
